Model,MSO44B
Channel,CH1,,Channel,CH3,,Channel,MATH1
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,28749.50000000,,Zero Index,28749.50000000,,Zero Index,28749.50000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-2.460000,,yPosition,-2.680000,,,

Labels,,,,Labels,
TIME,CH1,CH3,,TIME,MATH1
-9.18256000e-06,-3.75000000e-03,-7.42187500e-02,,-9.18256000e-06,-2.34375000e-02
-9.18224000e-06,-5.93750000e-03,-9.84375000e-02,,-9.18224000e-06,1.01562496e-02
-9.18192000e-06,-5.93750000e-03,-1.17968750e-01,,-9.18192000e-06,7.81250012e-04
-9.18160000e-06,-3.82812500e-03,-1.14843750e-01,,-9.18160000e-06,-5.54687493e-02
-9.18128000e-06,-3.59375000e-03,-1.08593750e-01,,-9.18128000e-06,-8.82812515e-02
-9.18096000e-06,-5.70312500e-03,-1.10156250e-01,,-9.18096000e-06,-7.89062530e-02
-9.18064000e-06,-6.48437500e-03,-1.17187500e-01,,-9.18064000e-06,-7.18749985e-02
-9.18032000e-06,-6.56250000e-03,-1.25000000e-01,,-9.18032000e-06,-6.25000000e-02
-9.18000000e-06,-8.35937500e-03,-1.28125000e-01,,-9.18000000e-06,-3.98437493e-02
-9.17968000e-06,-9.45312500e-03,-1.27343750e-01,,-9.17968000e-06,-2.26562507e-02
-9.17936000e-06,-8.75000000e-03,-1.10156250e-01,,-9.17936000e-06,-1.71875004e-02
-9.17904000e-06,-8.67187500e-03,-8.59375000e-02,,-9.17904000e-06,-9.37500037e-03
-9.17872000e-06,-9.60937500e-03,-7.34375000e-02,,-9.17872000e-06,3.90625000e-03
